"","Version","Kmod","M1","M2","S1","S2","P","Model","Cat","sumM","sumS"
"1","Fwd",1,323.3333333,NA,15,NA,NA,"Base","Coex",323.3333333,15
"2","Fwd",1,0,NA,500,NA,NA,"Base","Extinct",0,500
"3","Fwd",2,327.6190476,NA,8.571428571,NA,NA,"Base","Coex",327.6190476,8.571428571
"4","Fwd",2,0,NA,500,NA,NA,"Base","Extinct",0,500
"5","Fwd",3,328.3333333,NA,7.5,NA,NA,"Base","Coex",328.3333333,7.5
"6","Fwd",3,0,NA,500,NA,NA,"Base","Extinct",0,500
"7","Fwd",4,328.627451,NA,7.058823529,NA,NA,"Base","Coex",328.627451,7.058823529
"8","Fwd",4,0,NA,500,NA,NA,"Base","Extinct",0,500
"9","Fwd",5,328.7878788,NA,6.818181818,NA,NA,"Base","Coex",328.7878788,6.818181818
"10","Fwd",5,0,NA,500,NA,NA,"Base","Extinct",0,500
"11","Fwd",6,328.8888889,NA,6.666666667,NA,NA,"Base","Coex",328.8888889,6.666666667
"12","Fwd",6,0,NA,500,NA,NA,"Base","Extinct",0,500
"13","Fwd",7,328.9583333,NA,6.5625,NA,NA,"Base","Coex",328.9583333,6.5625
"14","Fwd",7,0,NA,500,NA,NA,"Base","Extinct",0,500
"15","Fwd",8,329.009009,NA,6.486486486,NA,NA,"Base","Coex",329.009009,6.486486486
"16","Fwd",8,0,NA,500,NA,NA,"Base","Extinct",0,500
"17","Fwd",9,329.047619,NA,6.428571429,NA,NA,"Base","Coex",329.047619,6.428571429
"18","Fwd",9,0,NA,500,NA,NA,"Base","Extinct",0,500
"19","Fwd",10,329.0780142,NA,6.382978723,NA,NA,"Base","Coex",329.0780142,6.382978723
"20","Fwd",10,0,NA,500,NA,NA,"Base","Extinct",0,500
"21","Fwd",11,329.1025641,NA,6.346153846,NA,NA,"Base","Coex",329.1025641,6.346153846
"22","Fwd",11,0,NA,500,NA,NA,"Base","Extinct",0,500
"23","Fwd",12,329.122807,NA,6.315789474,NA,NA,"Base","Coex",329.122807,6.315789474
"24","Fwd",12,0,NA,500,NA,NA,"Base","Extinct",0,500
"25","Fwd",13,329.1397849,NA,6.290322581,NA,NA,"Base","Coex",329.1397849,6.290322581
"26","Fwd",13,0,NA,500,NA,NA,"Base","Extinct",0,500
"27","Fwd",14,329.1542289,NA,6.268656716,NA,NA,"Base","Coex",329.1542289,6.268656716
"28","Fwd",14,0,NA,500,NA,NA,"Base","Extinct",0,500
"29","Fwd",15,329.1666667,NA,6.25,NA,NA,"Base","Coex",329.1666667,6.25
"30","Fwd",15,0,NA,500,NA,NA,"Base","Extinct",0,500
"31","Fwd",16,329.1774892,NA,6.233766234,NA,NA,"Base","Coex",329.1774892,6.233766234
"32","Fwd",16,0,NA,500,NA,NA,"Base","Extinct",0,500
"33","Fwd",17,329.1869919,NA,6.219512195,NA,NA,"Base","Coex",329.1869919,6.219512195
"34","Fwd",17,0,NA,500,NA,NA,"Base","Extinct",0,500
"35","Fwd",18,329.1954023,NA,6.206896552,NA,NA,"Base","Coex",329.1954023,6.206896552
"36","Fwd",18,0,NA,500,NA,NA,"Base","Extinct",0,500
"37","Fwd",19,329.2028986,NA,6.195652174,NA,NA,"Base","Coex",329.2028986,6.195652174
